
Gurobi 9.0.2 (linux64, Python) logging started Sat Dec  5 14:14:01 2020

Using license file /share/apps/gurobi/9.0.2/gurobi_client.lic
Set parameter TokenServer to value 10.1.1.1
Set parameter LogFile to value /storage/users/anderhva/051220-120816/logs/O24-C2-V3-WS2.log
Set parameter LogToConsole to value 0
Changed value of parameter TimeLimit to 3600.0
   Prev: inf  Min: 0.0  Max: inf  Default: inf
Gurobi Optimizer version 9.0.2 build v9.0.2rc0 (linux64)
Optimize a model with 10596 rows, 125204 columns and 722164 nonzeros
Model fingerprint: 0xb360a861
Variable types: 208 continuous, 124996 integer (124996 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [1e+00, 1e+04]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+02]
Presolve removed 2400 rows and 18592 columns
Presolve time: 3.96s
Presolved: 8196 rows, 106612 columns, 505204 nonzeros
Variable types: 192 continuous, 106420 integer (106412 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   2.818672e+02   0.000000e+00      5s
   15185    8.5182423e+03   7.718634e+03   0.000000e+00     10s
   18427    9.1657949e+03   0.000000e+00   0.000000e+00     12s

Root relaxation: objective 9.165795e+03, 18427 iterations, 7.27 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

   957   604 10333.3213   14  455 11425.9967 9837.41010  13.9%   194  482s
   961   607 10552.3414   38  470 11425.9967 9839.11276  13.9%   194  487s
   964   609 10193.9412   13  428 11425.9967 9846.55416  13.8%   193  490s
   969   612 9921.48854   11  436 11425.9967 9851.30770  13.8%   192  497s
   972   614 10391.0721   20  433 11425.9967 9852.43228  13.8%   191  501s
   975   616 10859.8102   20  465 11425.9967 9853.57552  13.8%   191  507s
   976   617 10497.4800   10  459 11425.9967 9853.89190  13.8%   191  512s
   977   618 10859.8102   20  459 11425.9967 9853.89190  13.8%   191  515s
   978   618 10219.3576   30  459 11425.9967 9853.89190  13.8%   190  573s
   979   622 9858.49907   13  399 11425.9967 9856.92456  13.7%   230  607s
   981   625 9860.76663   14  327 11425.9967 9860.76663  13.7%   230  626s
   985   632 9876.85613   15  297 11425.9967 9861.04306  13.7%   232  636s
   993   643 9884.62240   16  304 11425.9967 9879.83451  13.5%   236  642s
  1009   658 9904.25412   17  290 11425.9967 9884.75116  13.5%   247  648s
  1029   666 9911.62120   18  352 11425.9967 9904.28492  13.3%   253  651s
  1049   677 9994.15029   18  321 11425.9967 9908.87007  13.3%   259  657s
  1089   696     cutoff   19      11425.9967 9911.86232  13.3%   268  662s
  1115   710 9912.65339   20  349 11425.9967 9912.65339  13.2%   272  667s
  1145   717 9934.57259   21  329 11425.9967 9912.83462  13.2%   278  671s
  1174   727 9937.11358   21  249 11425.9967 9920.55860  13.2%   286  675s
  1234   743 10046.0094   22  341 11425.9967 9920.55860  13.2%   295  682s
  1268   767 10072.1249   23  263 11425.9967 9920.55860  13.2%   301  685s
H 1353   743                    11425.996364 9920.55860  13.2%   306  772s
H 1354   713                    11425.995498 9920.55860  13.2%   307  772s
H 1360   682                    11425.994689 9920.55860  13.2%   307  772s
H 1361   655                    11425.994299 9920.55860  13.2%   307  772s
H 1367   627                    11423.271884 9920.55860  13.2%   307  772s
  1373   649 10380.8368   25  183 11423.2719 9920.55860  13.2%   308  776s
  1470   678 10135.8682   26  186 11423.2719 9920.55860  13.2%   314  783s
  1524   698 10153.5876   27  173 11423.2719 9920.55860  13.2%   322  786s
  1688   712 10155.7295   29  161 11423.2719 9920.55860  13.2%   321  793s
  1766   719 10184.7243   30  186 11423.2719 9920.55860  13.2%   321  798s
  1848   719 10180.6459   31  203 11423.2719 9920.55860  13.2%   322  802s
  1937   731 10935.5282   32  110 11423.2719 9920.55860  13.2%   324  805s
  2144   745 10028.5955   19  284 11423.2719 9929.96581  13.1%   316  814s
  2228   751 10065.9754   19  293 11423.2719 9929.96581  13.1%   320  818s
  2326   765 10250.4864   20  293 11423.2719 9934.97263  13.0%   326  822s
  2417   798 10103.4824   21  303 11423.2719 9934.97263  13.0%   328  827s
  2504   859 10364.4970   21  275 11423.2719 9934.97263  13.0%   333  832s
  2625   902 10447.4364   22  253 11423.2719 9934.97263  13.0%   332  838s
H 2693   902                    11385.456143 9934.97263  12.7%   334  838s
  2746   969 10447.0151   21  294 11385.4561 9934.97263  12.7%   333  843s
  2877  1003 10455.6881   23  295 11385.4561 9934.97263  12.7%   334  847s
  2989  1007     cutoff   23      11385.4561 9934.97263  12.7%   338  856s
  3019  1046 10491.3068   25  295 11385.4561 9934.97263  12.7%   340  861s
  3154  1100     cutoff   27      11385.4561 9934.97263  12.7%   344  865s
  3288  1136 10589.3567   28  222 11385.4561 9980.09205  12.3%   347  871s
  3459  1153 10220.7740   23  393 11385.4561 9980.09205  12.3%   351  876s
  3572  1198 10283.8338   24  346 11385.4561 9980.09205  12.3%   358  881s
  3789  1205 10445.3020   26  199 11385.4561 9980.09205  12.3%   355  890s
  3831  1270 10453.2008   28  194 11385.4561 9980.09205  12.3%   362  896s
  4011  1325     cutoff   36      11385.4561 10089.8132  11.4%   365  902s
  4194  1342     cutoff   35      11385.4561 10103.4824  11.3%   367  908s
  4278  1407 11138.6393   26  124 11385.4561 10106.9497  11.2%   370  914s
  4585  1439 10475.8729   25  209 11385.4561 10106.9497  11.2%   364  921s
  4767  1519     cutoff   31      11385.4561 10110.9362  11.2%   363  928s
  5004  1584 10510.7771   28  262 11385.4561 10141.0136  10.9%   364  935s
  5232  1628 10611.2124   33  220 11385.4561 10186.0216  10.5%   362 1063s
  5456  1672 10588.0107   26  195 11385.4561 10214.5995  10.3%   363 1126s
  5680  1741 10587.1865   25   94 11385.4561 10214.9406  10.3%   364 1134s
  6035  1810 10833.1397   33  124 11385.4561 10271.3378  9.79%   359 1144s
  6370  1923 11054.1527   26  162 11385.4561 10279.1653  9.72%   356 1153s
  6770  2015 11040.1737   32  198 11385.4561 10302.5593  9.51%   351 1162s
  7139  2151 10919.3119   22   95 11385.4561 10318.5042  9.37%   349 1171s
  7653  2202 10670.8062   31  131 11385.4561 10357.3085  9.03%   341 1180s
  8082  2345 10750.4645   28  252 11385.4561 10383.0558  8.80%   339 1189s
  8612  2474 11058.8111   23   91 11385.4561 10397.4477  8.68%   334 1198s
  9183  2676 11056.9016   28  155 11385.4561 10425.6911  8.43%   328 1208s
  9861  2843 10805.8756   30  180 11385.4561 10456.6595  8.16%   319 1218s
 10528  2956     cutoff   26      11385.4561 10481.1015  7.94%   314 1227s
 11168  3008 11239.5024   50   55 11385.4561 10518.0056  7.62%   310 1237s
 11981  2973 11033.2406   32  180 11385.4561 10544.3540  7.39%   304 1247s
 12889  2878 infeasible   27      11385.4561 10589.5833  6.99%   296 1257s
 13189  2960 11023.2242   39  146 11385.4561 10628.7762  6.65%   295 1267s
 14423  2995 11221.3376   21  202 11385.4561 10694.7609  6.07%   283 1278s
 15665  2944 11255.7592   30  236 11385.4561 10734.6465  5.72%   273 1364s
H16110  2944                    11385.454402 10753.4534  5.55%   268 1364s
 17082  2915 infeasible   51      11385.4544 10801.1899  5.13%   260 1384s
H17087  2915                    11385.454400 10801.1899  5.13%   260 1384s
H17094  2915                    11385.454192 10806.3569  5.09%   260 1384s
H17126  2915                    11385.454186 10806.3569  5.09%   259 1384s
 17198  2560 11057.7932   35  144 11385.4542 10806.3569  5.09%   259 1395s
 19378  2158 11249.6076   42  107 11385.4542 10892.8556  4.33%   239 1405s
 20800  1272 11273.8976   31   47 11385.4542 11004.4902  3.35%   228 1415s
 24026    39 11250.4214   30   18 11385.4542 11154.6439  2.03%   202 1421s

Cutting planes:
  Gomory: 1
  Cover: 61
  Implied bound: 267
  Projected implied bound: 8
  Clique: 2
  MIR: 67
  StrongCG: 2
  Flow cover: 233
  GUB cover: 1
  Inf proof: 5
  Zero half: 28
  Mod-K: 2
  RLT: 20
  Relax-and-lift: 642

Explored 26466 nodes (4943488 simplex iterations) in 1422.09 seconds
Thread count was 20 (of 40 available processors)

Solution count 10: 11385.5 11423.3 11426 ... 14460.3
No other solutions better than 11385.5

Optimal solution found (tolerance 1.00e-04)
Best objective 1.138545366834e+04, best bound 1.138545366834e+04, gap 0.0000%
