
Gurobi 9.0.2 (linux64, Python) logging started Sat Dec  5 11:05:27 2020

Using license file /share/apps/gurobi/9.0.2/gurobi_client.lic
Set parameter TokenServer to value 10.1.1.1
Set parameter LogFile to value /storage/users/anderhva/051220-103929/logs/O20-C2-V3-WS2.log
Set parameter LogToConsole to value 0
Changed value of parameter TimeLimit to 3600.0
   Prev: inf  Min: 0.0  Max: inf  Default: inf
Gurobi Optimizer version 9.0.2 build v9.0.2rc0 (linux64)
Optimize a model with 8192 rows, 87644 columns and 502192 nonzeros
Model fingerprint: 0xb0b3a30f
Variable types: 176 continuous, 87468 integer (87468 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [1e+00, 1e+04]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+02]
Presolve removed 1952 rows and 13880 columns
Presolve time: 2.73s
Presolved: 6240 rows, 73764 columns, 348232 nonzeros
Variable types: 160 continuous, 73604 integer (73596 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
    8804    6.7706899e+03   2.838021e+04   0.000000e+00      5s
   12504    7.7606813e+03   0.000000e+00   0.000000e+00      6s

Root relaxation: objective 7.760681e+03, 12504 iterations, 3.20 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  2236  1068 9451.40937   20  341 9606.85399 8437.72441  12.2%  83.7  240s
  2242  1072 9585.36954   14  308 9606.85399 8437.72441  12.2%  83.5  245s
H 2244  1019                    9606.8539004 8437.72441  12.2%  83.4  250s
  2249  1023 8653.63076   25  461 9606.85390 8437.72441  12.2%  83.2  255s
  2255  1027 8717.66940   43  449 9606.85390 8437.72441  12.2%  83.0  262s
  2257  1028 9328.77697   28  476 9606.85390 8437.72441  12.2%  82.9  266s
H 2259   977                    9606.8538844 8437.72441  12.2%  82.8  267s
  2261   979 9353.35734   47  383 9606.85388 8437.72441  12.2%  82.8  270s
  2265   981 9578.93444   50  441 9606.85388 8437.72441  12.2%  82.6  276s
  2267   983 9519.13874   50  445 9606.85388 8437.72441  12.2%  82.5  281s
H 2267   932                    9606.8530496 8437.72441  12.2%  82.5  287s
  2269   934 9539.44738  107  121 9606.85305 8437.72441  12.2%  92.5  293s
H 2270   888                    9606.8530409 8437.72441  12.2%  92.5  300s
  2273   890 8829.19505   27  209 9606.85304 8437.72441  12.2%  92.4  306s
  2278   893 8665.14687   49  300 9606.85304 8437.72441  12.2%  92.2  310s
  2283   896 8584.51008   11  363 9606.85304 8440.11515  12.1%  92.0  316s
  2287   899 9585.36954   14  436 9606.85304 8446.46216  12.1%  91.8  320s
  2290   901 9112.39545   45  319 9606.85304 8448.06165  12.1%  91.7  325s
  2294   904 9153.02615   50  349 9606.85304 8450.54908  12.0%  91.5  331s
  2296   905 9404.76481   19  349 9606.85304 8450.54908  12.0%  91.5  338s
  2297   909 8451.06765   26  339 9606.85304 8451.06765  12.0%   100  353s
  2299   912 8457.69085   27  229 9606.85304 8457.69085  12.0%   100  358s
  2303   916 8466.66783   28  286 9606.85304 8457.72015  12.0%   101  363s
  2311   923 8474.91886   29  242 9606.85304 8466.72203  11.9%   102  365s
  2324   930 8477.13998   30  278 9606.85304 8475.31674  11.8%   104  374s
  2344   938 8489.28734   31  247 9606.85304 8477.15012  11.8%   106  375s
  2454   962 8549.44766   34  207 9606.85304 8490.71160  11.6%   111  380s
  2598   976 8593.81676   37  190 9606.85304 8490.71160  11.6%   114  385s
  2923   985 8652.18904   44  177 9606.85304 8490.71160  11.6%   117  390s
  3058   959 8921.97947   46  148 9606.85304 8490.71160  11.6%   118  434s
H 3068   910                    9606.8522953 8490.71160  11.6%   118  434s
H 3070   866                    9606.8522785 8490.71160  11.6%   119  434s
  3081   876 9069.93097   46  179 9606.85228 8490.71160  11.6%   119  436s
  3436   878 8955.88036   52  134 9606.85228 8490.71160  11.6%   121  440s
  4108   907     cutoff   68      9606.85228 8495.99335  11.6%   117  446s
  4833   939 9297.31308   44  126 9606.85228 8591.39595  10.6%   113  450s
  5590  1000 9078.84978   39  153 9606.85228 8591.39595  10.6%   113  455s
  6093  1010 9114.84224   35  128 9606.85228 8958.25299  6.75%   112  466s
  6391  1028 9541.33877   47   47 9606.85228 8992.70092  6.39%   110  470s
  6719  1049 9505.41864   42  125 9606.85228 9022.40022  6.08%   108  485s
  7051  1038 9434.82609   47  138 9606.85228 9063.13361  5.66%   107  491s
  8002  1010 9456.89351   49   15 9606.85228 9177.00754  4.47%   100  496s
  8730  1192 9505.80501   58   28 9606.85228 9272.00417  3.49%  94.7  501s
 12351   188     cutoff   61      9606.85228 9430.24847  1.84%  72.3  505s

Cutting planes:
  Cover: 17
  Implied bound: 127
  Projected implied bound: 6
  Clique: 1
  MIR: 51
  StrongCG: 3
  Flow cover: 80
  GUB cover: 1
  Inf proof: 4
  Zero half: 46
  Mod-K: 4
  RLT: 18
  Relax-and-lift: 340

Explored 14130 nodes (966102 simplex iterations) in 506.26 seconds
Thread count was 20 (of 40 available processors)

Solution count 8: 9606.85 9614 9649.4 ... 24370.4
No other solutions better than 9606.85

Optimal solution found (tolerance 1.00e-04)
Best objective 9.606851905801e+03, best bound 9.606851905801e+03, gap 0.0000%
